log	CALCULATING_CONTRIBUTIONS	COMPUTE_MINIMAL_TRACE	COUNT	EXECUTE	GENERATE_VADCOP_FINAL_COMPRESSED_PROOF	GENERATE_VADCOP_FINAL_PROOF	GENERATING_INNER_PROOFS	INITIALIZING_PROOFMAN	INIT_PROOFMAN	LOADING_FIXED_POLS	PLAN_MAIN	PLAN_SECONDARY	PROOF_GENERATED	REGENERATING_CONST_TREE	REGENERATING_VADCOP_CONST_POLS	REGENERATING_VADCOP_CONST_TREE	WAIT_ASM_RH	WAIT_PLAN_MEM_CPP
prove_triv_m1n100_2.log	0.771	0.008	0.002	0.031		0.271	3.811	7.566	0.000	1.179	0.000	0.005	4.915				0.000	0.000
prove_triv_m1n100_3.log	0.730	0.009	0.002	0.035		0.291	3.880	7.915	0.000	1.312	0.000	0.006	4.970				0.000	0.000
prove_triv_m1n1_1.log	0.757	0.007	0.001	0.030		0.283	3.926	6.885	0.000	1.149	0.000	0.006	5.037				0.000	0.000
prove_triv_m1n1_2.log	0.712	0.007	0.002	0.033		0.286	3.912	7.160	0.000	1.300	0.000	0.006	4.977				0.000	0.000
prove_triv_m1n1_3.log	0.765	0.007	0.001	0.029		0.281	4.136	7.811	0.000	1.200	0.000	0.005	5.240				0.000	0.000
prove_vram_0.log	1.359	1.053	0.131	1.076		0.289	9.551	6.899	0.000	1.205	0.000	0.007	12.304				0.000	0.000
prove_vram_16.log	1.665	1.077	0.177	1.107		0.312	16.668	6.847	0.000	1.186	0.000	0.010	19.780				0.000	0.000
prove_vram_4.log	1.365	1.007	0.141	1.034		0.287	10.116	6.679	0.000	1.177	0.000	0.008	12.830				0.000	0.000
prove_vram_8.log	1.534	1.066	0.177	1.095		0.279	11.562	6.635	0.000	1.197	0.000	0.010	14.499				0.000	0.000
prove_warmup.log	1.324	2.193	0.922	2.235		0.934	13.299	71.688	0.000	6.056	0.001	0.007	17.841		7.485	36.754	0.000	0.000
setup_bench.log								362.616	0.000	0.000				167.462		191.183		
setup_group-proof.log								2.912	0.000	0.000								
setup_group.log								3.371	0.000	0.000								
setup_slot-proof.log								2.960	0.000	0.000								
setup_stub_aggregation.log								3.057	0.000	0.000								
setup_stub_stream-final.log								2.982	0.000	0.000								
wrap_group-proof_0.log					0.452			7.991	0.000	1.509								
wrap_group-proof_1.log					0.157			7.680	0.000	1.200								
wrap_group-proof_2.log					0.151			7.152	0.000	1.183								
wrap_slot-proof_0.log					0.152			7.016	0.000	1.133								
wrap_slot-proof_1.log					0.170			8.082	0.000	1.482								
wrap_slot-proof_2.log					0.153			7.690	0.000	1.208								
wrap_stub_0.log					0.146			6.703	0.000	1.167								
wrap_stub_1.log					0.149			6.454	0.000	1.185								
wrap_stub_2.log					0.145			6.448	0.000	1.179								
